"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000257288",27.3340891544093,-22.9876116610795,2.4482240752659,-9.38950478157636,NA,NA
"ENSG00000233941",56.4191263726453,-22.6522990587441,2.6212771240618,-8.64170325632846,NA,NA
"ENSG00000257541",12.672588533339,-21.9445774410916,2.65976628429408,-8.2505660631441,NA,NA
"ENSG00000223528",748.930493456978,-9.01709315751131,2.1398200625004,-4.21394925467459,NA,NA
"ENSG00000235142",93.0452078732898,-8.03376259310778,2.25864650868505,-3.55689239649321,NA,NA
"ENSG00000150244",517.530036411547,-6.89430000755277,2.05641071114116,-3.35258903788092,NA,NA
"ENSG00000164438",11.3158760902222,-6.88105667264472,2.24301250275022,-3.06777455061337,0.00215659253014347,0.0171300403772772
"ENSG00000273906",31.1299943425869,-6.71435734441512,1.76106317293895,-3.81267262162429,0.000137472151442492,0.00544583615272915
"ENSG00000185275",136.257392193088,-6.69830468415216,1.4903890064483,-4.49433312723815,NA,NA
"ENSG00000229654",138.466926603689,-6.65005321786762,1.66597870279554,-3.99167960953446,NA,NA
"ENSG00000092377",13.6332875555403,-6.56112426458008,2.03158650056981,-3.22955693136366,NA,NA
"ENSG00000204936",76.2301861182061,-6.54405511886862,1.75273586729955,-3.73362309801481,NA,NA
"ENSG00000287460",8.48009464808738,-6.46755083032509,2.49586883947488,-2.59130236654816,NA,NA
"ENSG00000170561",316.968841519458,-6.39263596803114,1.33107403926096,-4.8026148654965,1.56606926672322e-06,0.000435367256149055
"ENSG00000259907",7.78855247605713,-6.342578066048,2.09055257666033,-3.03392420590556,0.00241395068863487,0.0171300403772772
"ENSG00000286351",17.3129317680742,-6.33260966947338,2.21201122558182,-2.86282890260095,NA,NA
"ENSG00000178919",32.0846891887622,-6.32057248713966,1.98473795202918,-3.18458791029696,0.00144960273638672,0.0171300403772772
"ENSG00000198719",23385.8008192779,-6.14107287867436,1.42865128711091,-4.29851072412018,NA,NA
"ENSG00000242021",10.0423124869629,-6.11058388355846,2.14532521629923,-2.84832520362552,0.00439499889751399,0.0203634948918148
"ENSG00000129514",60.092144878778,-6.09424506404445,1.65635123693213,-3.67931929421692,NA,NA
